Res_User_Id,Res_Id,Res_User_Rating,Res_User_Review_Date,Res_User_Review
337,3233,5,1 year ago,Bánh tôm cô Ầm ngon đỉnh nhé các bạn. Nên đi sớm không là dễ hết bánh lắm. Chỉ 12k/ bánh thôi mà siêu ngon.
337,1474,3,,
337,1811,4,,
640,3233,2,a month ago,"Đồ ăn tương đối ngon, nhưng sử dụng dầu đen hơn dầu luyn để chiên bánh. Đặc biệt là thái độ bán hàng rất khó chịu."
640,3233,2,,
640,1474,3,,
960,4328,4,3 months ago,"Nước dùng ngọt nhẹ kiểu hầm xương. Rất ngon. Quán nhỏ nhưng khách ra vô đông. Mình không thích bún nên làm tô Miến. Rất ngon, mọi người nên thử"
551,4328,5,2 months ago,"Bún ngon, nước ngọt thanh nhẹ nhàng. Mọc ngậy, thịt với mình hơi rời rạc xíu nhưng nói chung ổn. Cô chủ và các cô phục vụ thân thiện. Không gian phố cổ nên nhỏ, bình dân thôi."
551,1152,5,,
289,4001,5,6 months ago,"Quán tủ của vợ chồng mình. Quán tuy đông nhưng người order nhanh và chuyên nghiệp nên cũng không đến nỗi. Có cả xôi chả trứng thịt nhưng nhà mình lại chỉ ăn xôi xéo, xôi ngô. Xôi dẻo, đỗ mịn và đặc biệt hành phi giòn thơm"
289,1463,4,,
289,1152,3,,
576,4001,3,2 years ago,
576,1544,4,,
174,4001,5,a month ago,
174,4328,4,,
174,1463,5,,
114,4001,4,4 months ago,
114,3332,3,,
970,1152,4,,"Quán ngay phố ẩm thực ngũ xá, đồ ăn vẫn ngon chỗ ngồi ổn"
970,4929,4,,
970,1474,5,,
629,1152,4,,
929,1152,5,a month ago,I love their Phở Chiên Phồng!! The portion is really big. A must try if you're in the area!
929,2405,4,,
335,1811,4,4 months ago,"Đồ ăn ổn, khá sạch sẽ, thoáng đãng. Bát được tráng nước sôi, tương đối đầy đặn. Phục vụ hơi chậm chút.  Mức giá trung bình."
526,1811,5,a month ago,"Đồ ăn ngon,giá rẻ,nhưng chỗ ngồi vỉa hè nên về thẩm mĩ k đc vệ sinh lắm,nên mua mang về"
526,2795,4,,
526,1846,3,,
904,1811,3,4 months ago,Đồ ăn không ngon
830,1811,3,7 months ago,
447,1463,4,2 weeks ago,"Phục vụ nhanh, dịch vụ tốt đầy đủ sẵn các thứ
Ếch to
Nước dùng k đặc sắc nhưng vẫn ok
Salat giá hợp lý"
447,1474,2,,
198,1463,5,2 weeks ago,
198,1474,3,,
250,1463,5,3 weeks ago,
748,1463,3,3 months ago,"Giá được. Quán dơ dơ kiểu dính dính dầu mỡ😅
Lẩu nhỏ nhất 250k, bắp chiên 45, bia hn 20😀 …"
608,2552,5,3 months ago,
944,2552,5,3 months ago,ngon nên thử-xếp hàng lâu
944,1152,4,,
903,2552,2,4 months ago,"Đồ ăn ngon,giá hơi cao,ngồi trong nhà phải gọi nước,ăn xong bát bún mất 10k gửi xe,nói chung là không có lần 2"
484,3305,5,one week ago,"Ngon, thuận tiện khi tham gia phố đi bộ, giá thành cao vì nằm ở phố cổ"
484,2795,3,,
484,1846,4,,
193,3305,5,one week ago,
408,3305,3,3 days ago,
423,3305,4,5 days ago,"Quán có vị trí rất tốt, nhưng hơi chật chội. Phở rất ngon"
305,4722,4,3 weeks ago,"Món quà chiều nóng hổi, rất ngon, bánh đúc nóng phố Lê Ngọc Hân. Mê cả cái cháy nồi của món bánh đúc, nếu đến đúng lúc nhà hàng vét nồi 😄. Giá 15k, rất xứng đáng về độ ngon và rẻ."
305,2596,5,,
901,4722,4,4 weeks ago,
520,4722,5,3 months ago,"Quán nằm sâu trong một con hẻm nhỏ. Bánh đúc ngon dẻo, nước sốt đậm đà, thịt băm xào nấm mèo ngon. Cô chủ nhiệt tình dễ thương."
812,4722,3,3 months ago,Đi khá xa để đến ăn nhưng đến đã nghe chủ quán lớn tiếng nhau. Vệ sinh của quán ko ổn lắm.
812,3305,4,,
812,4722,3,,
656,1544,5,3 weeks ago,"đồ ăn bình thường, chỉ có đúng 2 món là bò tươi và bò nhúng dấm, ngoài ra không còn món nào khác, ăn chơi bời 1 2 lần cho biết thì được"
254,1544,4,a month ago,"Nước lẩu ngon ha, ấn tượng nhất với nước lẩu còn lại thì thịt bò mình thấy cũng tươi, gầu bò cxg ổn thịt mới. Set 120k/ng bọn mình con gái ăn ít mà vẫn ko đủ phải gọi thêm"
254,3233,5,,
254,4328,4,,
220,1544,5,a month ago,quán nhỏ nhưng ngon và rẻ
394,1544,3,a month ago,"Đông, chật, bàn ghế chán đời. Dc mỗi đồ ăn vẫn ok"
811,2596,5,3 months ago,"Bao năm vẫn thấy lẩu bò ở đây ngon, dù nhiều ý kiến về vấn đề vệ sinh. Nhưng phàm đã đi ăn hàng thì cũng có khi khuất mắt trông coi. Bò chín ở đây vẫn là chân ái. Giá cả cũng hợp lý ở giữa Thủ đô."
748,2596,4,a month ago,
567,2596,5,2 months ago,"Nhân viên nhiệt tình, đồ ăn ngon, giá cả hợp lý, 5 sao"
481,2596,5,2 months ago,Quán phở bò nhưng bán lẩu bò rất ngon món đồ chấm tuyệt vời
325,3367,5,3 weeks ago,"quá nà keooo😘😘
các anh các chị siu cuti …"
989,3367,4,4 weeks ago,
122,3367,5,a month ago,đồ ăn quá đỉnh ạ
270,3332,4,2 weeks ago,"Bún ngon , riêng quẩy rất ỉu nhưng vẫn mang bán cho khách"
905,3332,4,2 weeks ago,Quán bún ốc khá ngon nhưng hơi ít toping. Bát như hình là 50k.
745,3332,5,3 weeks ago,"Nước thanh, dịu. Nhưng đồ hơi ít so với giá bán"
